Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips for Interpersonal Communication with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies Shadé Zahrai shares tips for improving interpersonal communication skills. Shadé explains the importance of choosing words that foster collaboration, shows how you can transform your communication with positive reinforcement, describes the biggest conversation buzzkill, and more.",Course,2025-11-15 10:07 UTC,N/A,false,N/A,
Nano Tips for Smarter Learning and Better Relationships with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shares tips and strategies for building continuous growth—both personal and formulaic—that will enhance your ability to interact with people and strengthen relationships.",Course,2025-09-17 15:37 UTC,N/A,false,N/A,
Storytelling and Content Creation to Transform Your Personal Brand,"Storytelling gives you the power to create an engaging brand, but how can you start using it more effectively for your content? In this course, instructor Ash Rathod demonstrates how to master the art of storytelling to deliver more engaging content for your business and personal brand. Find out why storytelling matters for creators in all digital mediums, regardless of your specific messaging, channel, audience, or field, as you unlock the secrets of evocative storytelling using the key components of his 6P storytelling framework. Along the way, Ash shows you how to conduct the right research to build a winning strategy, write compelling and inspiring content, and enhance your visibility across a wide variety of platforms.",Course,2025-11-02 11:15 UTC,N/A,false,N/A,
Understanding the Cash Conversion Cycle for Business,"<p>The cash conversion cycle isn’t just another accounting metric, it’s a crystal ball into a company’s financial health and risk profile. A successful business professional who understands the cash conversion cycle will make better decisions, mitigate risk, and provide strategic recommendations to their organization.</p>
<p>In this course, Hailey Margetta provides an overview of how to calculate the cash conversion cycle, interpret its meaning, identify risks that can impact a businesses cash conversion cycle and shares the best questions to ask when completing your analysis.</p><p>Because a company’s cash conversion cycle impacts everything from meeting its financial obligations to future growth, it’s a concept all driven business professionals need to understand.</p>",Course,2026-04-25 11:26 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-16 08:30 UTC,N/A,false,N/A,
Nano Tips for Innovative Ideation with Lisa Bodell,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in seconds. In this installment, Lisa Bodell offers frameworks and techniques for tackling challenges, developing products, growing creatively, and brainstorming.",Course,2026-04-14 10:48 UTC,N/A,false,N/A,
Seven Paths to Happiness (and Two Dead Ends): Strategies for Your Life and Career,"<p>Choosing the right path for your career and life can be one of the most impactful decisions you make. In this course, Chris Croft explores the seven distinct paths to happiness, each with its own set of advantages and challenges. Whether aiming for corporate success, launching a business, or pursuing a passion, this course provides valuable insights into how different paths align with individual personalities, skills, and aspirations. Chris looks in-depth at topics such as the trade-offs of financial-driven goals, the pursuit of a vocation, and how to find balance in multi-harvesting or niche careers.</p><p>
This course was created by Chris Croft and CRFT Productions. We are pleased to host this training in our library.</p>",Course,2025-11-01 09:27 UTC,N/A,false,N/A,
Hidden Genius: How Successful People Think (Book Bite),"<p>When we hear the word genius, we often think of some kind of extraordinary—perhaps even magical—human being. But what if genius isn’t an inherent quality but just a way of looking at the world—a way that you could learn to employ? In this audiobook summary, Polina Marinova Pompliano shares five key insights from her new book, <i>Hidden Genius: The secret ways of thinking that power the world’s most successful people</i>. Join Polina as she helps you unlock the genius within. Learn how manufacturing hardship leads to lasting mental toughness; how love is a skill that needs to be sharpened regularly; how to audit the information you put in your brain; the importance of tying your identity to your own name; and how your definition of success is personal and ever-changing.
</p><p>
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-10-10 22:21 UTC,N/A,false,N/A,
Nano Tips to Build Authority on LinkedIn with Shadé Zahrai & Jasmin Alić,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Shadé Zahrai and Jasmin Alić show you how to create impactful LinkedIn content that delivers real value, builds engagement, and strengthens professional connections. Develop skills to format posts effectively, engage with comments, and subtly showcase their expertise without sounding overly promotional. Through storytelling, video strategies, and permission-based selling, learn how to enhance your LinkedIn presence and create content that resonates with your audience.",Course,2025-10-18 10:56 UTC,N/A,false,N/A,
Practical GitHub Actions,"<p>For developer professionals, solving problems is a vital part of the job—particularly solving problems that keep coming up. GitHub Actions will let you automate your repetitive problems away, and in this course—created in partnership with GitHub—Ray Villalobos shows you how to set them up to tackle real-world projects. Ray starts with the basics of Actions, going over what you can do with them and how they work. He then shows you the steps necessary to publish a marketplace action, including creating a workflow, a generator repo Dockerfile, entry point, and action.yml file. Finally, Ray takes you through testing and releasing your GitHub Action.
</p><p>If you’re a developer looking to advance your career, or a recent computer science grad searching for a developer role, check out this course to learn practical skills to add your portfolio and enhance your standing in a competitive job market.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,2025-10-11 04:26 UTC,N/A,false,N/A,
Supply Chain Beyond the Basics: Leveraging Supply Chain Information Systems,"In today’s rapidly evolving business landscape, Supply Chain Information Systems (SCIS) play a critical role in optimizing logistics, procurement, inventory management, and overall supply chain performance. This course provides a comprehensive overview of essential SCIS categories, including WMS, ERP, TMS, OMS, and AI-powered analytics, helping you understand how these systems work individually and integrate for seamless supply chain operations. Explore data management strategies, system interoperability (EDI/API), and cybersecurity considerations to ensure secure and efficient supply chain management. Through realistic examples and best practices, gain the knowledge needed to leverage SCIS effectively, improve operational resilience, and drive digital transformation in supply chains.",Course,2026-03-14 21:37 UTC,N/A,false,N/A,
Tips for Fostering a Growth Mindset from Today’s Top Business Leaders,"In this course, high-profile business leaders share short, actionable advice for anyone trying to cultivate a growth mindset. Hear about how to own your failures from media mogul Jeffrey Katzenberg. Find out how to change a scarcity mindset from Nopalera founder Sandra Velasquez. Learn to be open to experimentation with lessons from Liquid Death CEO Mike Cessario. Check out this course for these lessons and more to find out how you can develop a growth mindset.",Course,2026-02-19 22:19 UTC,N/A,false,N/A,
How to Build a Strong Professional Brand on LinkedIn with LinkedIn Career Expert Andrew Seaman,"<p>Your LinkedIn presence is more than just a profile—it’s your ticket to new opportunities. But how do you craft a standout professional brand that reflects your authentic self and attracts the right connections?</p>

<p>Join LinkedIn Editor at Large Andrew Seaman as he shares actionable insights designed to help you define your professional brand, optimize your profile, create content that opens doors, and transform your LinkedIn profile into a powerful tool for career advancement.</p> 

<p>Whether you’re looking for a new role, building a following in your current one, or rebranding yourself for a professional pivot, Andrew demonstrates the importance of authenticity, consistency, visibility, and engagement as you grow your career.</p> 

<p>This is a recording of a live event and features audience participation and an unscripted Q&A. Visit <a href=""http://linkedin.com/events"" target=""_blank""><b>linkedin.com/events</b></a> for more can’t-miss conversations featuring prominent leaders.</p>",Course,2025-11-09 11:42 UTC,N/A,false,N/A,
Leveraging the Power of Social Intelligence in the Age of AI,"<p>Enhance your understanding and application of social intelligence: your key to thriving in personal and professional interactions. Join technology journalist and analyst Chris Shipley as she explores the foundational elements of building your social intelligence, including developing sharp situational awareness and learning to regulate your response to both internal triggers and external environments. Discover uniquely human skills that are increasingly valuable in the age of AI, such as active listening, bias awareness, mindfulness, empathy, and fostering kindness. By the end of this course, you’ll have your own personalized social intelligence development plan, which can enable you to activate and apply your skills more intentionally in any situation. Whether you’re an aspiring leader or collaborator, or just looking to build more connections, this course offers the insights and tools you need to achieve your goals. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/human-skills-in-the-age-of-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2026-03-05 14:33 UTC,N/A,false,N/A,
Drone Analysis with Drone2Map and ArcGIS Online,"In this course, cartography expert Dr. Jason VanHorn dives into the transformative world of drone imagery and geotechnologies. Learn how to process drone data into stunning 2D and 3D visuals using ArcGIS Drone2Map and ArcGIS Online, focusing on orthophoto creation and high-resolution GPS-grounded models. Discover how to use ground control points, manage drone projects, and understand the software interface to optimize your project workflows. Explore ways to convert raw drone data into polished products like true ortho-mosaics, raster surface models, and realistic 3D meshes. Enhance your skills with hands-on exercises and challenges that make your learning journey exciting and fruitful. With drone technology advancing rapidly, this course ensures you're equipped with cutting-edge skills to elevate your professional portfolio.",Course,2025-10-23 22:22 UTC,N/A,false,N/A,
Nano Tips for Career Success and Daily Wins with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore strategies for career success and daily wins with award-winning leadership strategist and peak performance specialist Shadé Zahrai. Learn how to identify career growth areas, address burnout, track achievements, celebrate effort, balance skills with opportunities, and develop daily habits. By the end of this course, you’ll be prepared to manage emotionally charged situations, disrupt procrastination, and improve mental clarity and well-being.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-28 07:12 UTC,N/A,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2025-10-14 15:30 UTC,N/A,false,N/A,
Nano Tips for Mastering Job Interviews with Diana YK Chan,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Diana YK Chan teaches tips for acing an interview. Learn tips that can help you through the entire interview process, from preparation before you interview, to calming your nerves, what to do when you get caught off guard, and how to communicate effectively in a job interview. Plus, learn about common job interview mistakes, as well as motivational questions you need to prepare for.",Course,2025-10-10 10:00 UTC,N/A,false,N/A,
Creating Your First Marketing Videos on LinkedIn Nano Tips with Shay Rowbottom,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, Shay Rowbottom teaches expert tips on creating and sharing your videos on LinkedIn to market your business. Shay explains the factors to consider when making your first video, like topics to cover, video quality concerns, and video lengths. She then explains how to use your videos as a marketing tool to get you noticed.",Course,2025-10-19 17:09 UTC,N/A,false,N/A,
Nano Tips to Sharpen Your Critical Thinking with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to become a better critical thinker, using practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn how to scrutinize information like an investigator, posing Socratic questions and pushing the boundaries of your perspective. Challenge your assumptions to make better, smarter, more disruptive decisions with tools and techniques to enhance your focus and sense of clarity. Along the way, Shadé gives you pointers on how to avoid overthinking things to improve your chances of success in both your personal and professional life. By the end of this course, you’ll be prepared to create more inclusive, equitable spaces for open dialogue, ideation, and critical voice.</p>",Course,2025-10-29 10:06 UTC,N/A,false,N/A,
Nano Tips to Enhance Your Communication with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>Here, award-winning leadership strategist and peak performance specialist Shadé Zahrai presents useful tips to help you communicate more effectively. Shadé shows you how to drive positive outcomes with your word choices. She covers how to foster trust by challenging your assumptions, responding positively, and owning a professional apology. Plus, Shadé guides you through mastering nonverbal communication through voice modulation, aligning delivery and intention, and using body language and physical gesture to reinforce your meaning. With these quick videos, you can make learning fit into even your busiest days!</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-11-09 11:26 UTC,N/A,false,N/A,
Nano Tips to Thrive in Uncertainty and Embrace Change with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to grow your career by thriving in uncertainty and embracing change with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Start embracing change in your professional life by tapping into your brain’s learning powerhouse. Learn how to identify communication preferences, transform anxiety into opportunity, cultivate resilience, manage stress, overcome the effects of tunnel vision, embrace acts of microbravery, and accept what you cannot change. Along the way, Shadé shows you how to successfully confront your fear of change and lead more authentically in times of uncertainty.</p>",Course,2025-10-15 14:05 UTC,N/A,false,N/A,
"Introduction to ESG: Environmental, Social, and Governance","In this course, instructor Fulya Kocak Gin explains what the environmental, social, and governance (ESG) umbrella encompasses, why there is an increasing momentum around ESG, why corporations are expected to address their impact in environmental and social aspects of their businesses, and how governance plays into these efforts. Fulya covers foundational concepts under each one of the E, S, and G areas. She connects the dots between traditional social responsibility and sustainability projects and business performance, sustainable investing, and risk management.",Course,2025-10-12 02:13 UTC,N/A,false,N/A,
Excel: PivotTables for Beginners,"PivotTables don't have to be scary! This powerful Excel feature cuts the time you spend on formulas in half. In this concise course, Excel trainer Dave Ludwig demystifies PivotTables and shows you how to get started using them to analyze your data. Dave begins by explaining two PivotTable basic building blocks: value fields and row fields. Then he shows you how to adjust a PivotTable by adding fields, filters, and formatting. Dave shows you how to use special filter buttons which are known as slicers, and he also demonstrates how to use timelines. Plus, he goes over the basics of refreshing and updating a PivotTable. Finally, he’ll show you how to use AI in Excel to generate PivotTables automatically for you.",Course,2025-10-08 08:51 UTC,N/A,false,N/A,
Market Sizing: TAM/SAM/SOM,"How big is your market—and how much of it can you realistically capture? This audio-only course provides a comprehensive introduction to market sizing. Join market research expert Sarah Weise as she guides you through calculating your total addressable market (TAM), serviceable available market (SAM), and serviceable obtainable market (SOM). Through real-world case studies and practical applications, learn the skills needed to size your market accurately, prioritize audience segments with RICE scoring, and make data-driven strategic decisions for your business.",Course,2025-11-14 04:36 UTC,N/A,false,N/A,
Overcoming Fears: Preparing for Sales Calls,"<p>Even salespeople with years of experience may dread the task of making sales calls. Picking up the phone and convincing someone to buy your product, meet you, or even just speak to you, can be a daunting task. However, sales are a fantastic way to find new business opportunities and build professional relationships.</p>
 
<p>In this course, prospecting coach and sales expert Miles Croft teaches you that the secret to removing the fear of sales calls is to have a concise and thoroughly tested plan that you can rely on. The plan needs to be flexible and needs to ensure you remain human and approachable. Most of all, the plan must make sure you achieve your ultimate goal. Miles explains the common sales call factors that people fear most and gives practical advice on how to remove those fears. He also provides actionable tips on how to plan and execute the perfect sales call, leaving you with a clear, concise plan.</p>
 
<p>This course was created by Miles Croft. We are pleased to host this training in our library.</p>",Course,2025-11-16 01:07 UTC,N/A,false,N/A,
